Announcement,Origin,Destination,Distance_Car-Peak,Time_Car-Peak,Earliesttime,Latesttime,Announcementtime,Starttime,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude
1,27264,27264,8.797206715,9.774674128,626.8858302,656.6605043,622.8735142,636.8858302,-37.94595615,144.690305,-37.9545693,144.6845179
2,24412,24412,6.002118193,6.669020214,694.7126107,721.3816309,662.6469637,704.7126107,-37.82134396,145.2029728,-37.80516062,145.2267918
3,20912,24601,18.9390048,32.80952753,203.5998088,256.4093364,147.5896809,213.5998088,-37.9705434,145.0017642,-37.80546155,144.9297738
4,22671,22671,7.175484661,7.972760734,796.4413508,824.4141115,759.9674384,806.4413508,-37.99558278,145.2394907,-37.98031217,145.17865
5,21181,24330,17.7638404,23.97496002,666.5158162,710.4907762,658.4872228,676.5158162,-37.70588186,144.7766387,-37.80547213,144.895882
6,24971,23672,20.67477951,31.7171743,712.5096903,764.2268646,721.21552,722.5096903,-37.90444518,145.1208816,-37.87707256,145.2562916
7,24971,24971,5.994361,6.660401111,258.9841354,285.6445365,268.7173129,268.9841354,-37.91494606,145.0980995,-37.90774329,145.135973
8,23112,27261,20.09882561,24.15594394,741.2871828,785.4431267,685.7779323,751.2871828,-37.8419077,144.8500381,-37.8401701,144.691726
9,27351,27351,6.825442664,7.583825182,267.2486947,294.8325198,212.4828535,277.2486947,-37.79024437,144.9816303,-37.79039554,145.0058446
10,27453,27453,14.79074134,16.43415704,791.2678338,827.7019909,732.3934984,801.2678338,-37.77028032,145.3626948,-37.78168715,145.3586251
11,24974,24411,20.25483404,29.35319074,504.0403541,553.3935449,472.701307,514.0403541,-37.89803081,145.1787302,-37.79116945,145.2736918
12,23271,23271,9.461522169,10.51280241,713.6967544,744.2095568,677.2927872,723.6967544,-37.66426422,144.9190566,-37.67812785,144.9367375
13,22171,22171,10.05100484,11.16778316,439.381605,470.5493881,390.4651292,449.381605,-38.14123386,145.1667117,-38.13913641,145.2276962
