Announcement,Origin,Destination,Distance_Car-Peak,Time_Car-Peak,Earliesttime,Latesttime,Announcementtime,Starttime,Origin_Latitude,Origin_Longitude,Destination_Latitude,Destination_Longitude
1,22311,22311,6.427178,7.141308889,341.0121235,368.1534323,322.5613845,351.0121235,-37.87917327,144.9920291,-37.88497001,145.0744085
2,26981,26985,5.884903357,10.01924979,671.018301,701.0375508,667.3492809,681.018301,-37.83501148,145.1555067,-37.82004704,145.1739394
3,24411,24412,6.853416389,11.43961364,496.6629646,528.1025783,487.0388761,506.6629646,-37.79948562,145.2802295,-37.81775186,145.2680394
4,27267,27261,17.07958117,21.35023523,381.9721039,423.3223391,351.3746039,391.9721039,-37.87627371,144.5840868,-37.8530745,144.6666946
5,24214,24214,8.226967689,9.14107521,274.9011392,304.0422144,248.2831336,284.9011392,-37.78325446,145.1764979,-37.76179966,145.1328103
6,25715,24608,37.95275971,49.1062713,219.214535,288.3208063,161.063458,229.214535,-37.66463185,145.1777864,-37.79785151,144.9505434
7,23275,23275,9.428344389,10.47593821,647.5368658,678.012804,626.4355799,657.5368658,-37.57446448,144.7315913,-37.57191015,144.7805166
8,24608,23674,36.43918464,44.54133441,570.9254892,635.4668237,569.4617153,580.9254892,-37.8143739,144.9624287,-37.92023865,145.2905279
9,22311,27352,9.526273896,17.76202201,653.8029806,691.5650026,613.3175445,663.8029806,-37.88152228,145.0266923,-37.81329963,145.0410219
10,23271,23274,14.26133224,18.9236435,119.5440842,158.4677277,83.39966826,129.5440842,-37.67168578,144.9268826,-37.59764542,144.9002105
11,24601,23431,22.63695418,36.90153067,797.6815259,854.5830565,792.5262238,807.6815259,-37.80462962,144.9655796,-37.97173767,145.0766205
12,25345,25345,8.951060942,9.945623269,660.3877225,690.3333457,660.620067,670.3877225,-38.23894675,145.0808938,-38.25669364,145.0913385
13,26351,20661,15.17245659,31.64648702,555.679402,607.325889,531.3306003,565.679402,-37.85425022,145.0399595,-37.7383718,145.0262487
14,27453,27453,14.79074134,16.43415704,724.5026127,760.9367697,705.8100412,734.5026127,-37.77107351,145.3321718,-37.76642768,145.3529565
15,20662,25715,13.36902295,18.67328261,335.2433991,373.9166817,330.6017575,345.2433991,-37.71205566,145.1258122,-37.65962307,145.1206009
16,22674,22674,11.2754013,12.52822367,303.0207007,335.5489243,282.9831528,313.0207007,-38.00527811,145.2027715,-38.0238668,145.2036426
17,24975,24975,7.005550782,7.783945313,401.7845774,429.5685227,391.4041469,411.7845774,-37.87493738,145.1331336,-37.88429424,145.0984466
18,22671,21616,9.227165033,14.64736365,816.8027862,851.4501499,813.5596926,826.8027862,-37.97560184,145.2149511,-37.98064317,145.2364664
19,20912,20912,6.331585937,7.035095486,767.5703724,794.6054679,748.6535022,777.5703724,-37.95828247,145.0648507,-37.9604082,145.0429517
20,24412,24412,6.002118193,6.669020214,806.6552321,833.3242523,798.0014721,816.6552321,-37.81045424,145.2783513,-37.80387503,145.2031181
